communicate round 146  accuracy: 0.7716999650001526
communicate round 147  accuracy: 0.8481998443603516
communicate round 148  accuracy: 0.7828001379966736
communicate round 149  accuracy: 0.7524998784065247
communicate round 150  accuracy: 0.8532999753952026
communicate round 151  accuracy: 0.6054999828338623
communicate round 152  accuracy: 0.7662999033927917
communicate round 153  accuracy: 0.8311001658439636
communicate round 154  accuracy: 0.8159000277519226
communicate round 155  accuracy: 0.8125
communicate round 156  accuracy: 0.7694999575614929
communicate round 157  accuracy: 0.7858999371528625
communicate round 158  accuracy: 0.834399938583374
communicate round 159  accuracy: 0.616399884223938
communicate round 160  accuracy: 0.7995003461837769
communicate round 161  accuracy: 0.7529000043869019
communicate round 162  accuracy: 0.7888001203536987
communicate round 163  accuracy: 0.7666999697685242
communicate round 164  accuracy: 0.8175998330116272
communicate round 165  accuracy: 0.8623000979423523
communicate round 166  accuracy: 0.8669000267982483
communicate round 167  accuracy: 0.7944998741149902
communicate round 168  accuracy: 0.7947998642921448
communicate round 169  accuracy: 0.8104002475738525
communicate round 170  accuracy: 0.7436000108718872
communicate round 171  accuracy: 0.7248998880386353
communicate round 172  accuracy: 0.867699921131134
communicate round 173  accuracy: 0.8141000270843506
communicate round 174  accuracy: 0.8219999670982361
communicate round 175  accuracy: 0.8870999217033386
communicate round 176  accuracy: 0.827599823474884
communicate round 177  accuracy: 0.8492001295089722
communicate round 178  accuracy: 0.7772001624107361
communicate round 179  accuracy: 0.8443999886512756
communicate round 180  accuracy: 0.8279998302459717
communicate round 181  accuracy: 0.8416000008583069
communicate round 182  accuracy: 0.8759000897407532
communicate round 183  accuracy: 0.777299702167511
communicate round 184  accuracy: 0.7146000266075134
communicate round 185  accuracy: 0.8764998316764832
communicate round 186  accuracy: 0.8192002177238464
communicate round 187  accuracy: 0.8338000774383545
communicate round 188  accuracy: 0.8554999828338623
communicate round 189  accuracy: 0.7675997614860535
communicate round 190  accuracy: 0.8195000290870667
communicate round 191  accuracy: 0.8149001002311707
communicate round 192  accuracy: 0.7993998527526855
communicate round 193  accuracy: 0.7943998575210571
communicate round 194  accuracy: 0.8429998755455017
communicate round 195  accuracy: 0.7612000703811646
communicate round 196  accuracy: 0.8780000805854797
communicate round 197  accuracy: 0.8596999049186707
communicate round 198  accuracy: 0.8292999863624573
communicate round 199  accuracy: 0.7148000001907349
communicate round 200  accuracy: 0.8612999320030212
communicate round 201  accuracy: 0.7324000597000122
communicate round 202  accuracy: 0.8514999151229858
communicate round 203  accuracy: 0.8723999857902527
communicate round 204  accuracy: 0.8081998825073242
communicate round 205  accuracy: 0.7578000426292419
communicate round 206  accuracy: 0.7974997758865356
communicate round 207  accuracy: 0.8425999879837036
communicate round 208  accuracy: 0.7435998320579529
communicate round 209  accuracy: 0.8403001427650452
communicate round 210  accuracy: 0.7635999321937561
communicate round 211  accuracy: 0.8392000198364258
communicate round 212  accuracy: 0.7163999080657959
communicate round 213  accuracy: 0.7840999960899353
communicate round 214  accuracy: 0.8296002149581909
communicate round 215  accuracy: 0.898099958896637
communicate round 216  accuracy: 0.7659000754356384
communicate round 217  accuracy: 0.8738002777099609
communicate round 218  accuracy: 0.88180011510849
communicate round 219  accuracy: 0.6827998757362366
communicate round 220  accuracy: 0.8603000640869141
communicate round 221  accuracy: 0.7826999425888062
communicate round 222  accuracy: 0.7460998296737671
communicate round 223  accuracy: 0.829200267791748
communicate round 224  accuracy: 0.790600061416626
communicate round 225  accuracy: 0.7783001065254211
communicate round 226  accuracy: 0.8659000992774963
communicate round 227  accuracy: 0.7435997724533081
communicate round 228  accuracy: 0.9005998969078064
communicate round 229  accuracy: 0.8690001964569092
communicate round 230  accuracy: 0.7404999136924744
communicate round 231  accuracy: 0.7916999459266663
communicate round 232  accuracy: 0.8778000473976135
communicate round 233  accuracy: 0.8233000636100769
communicate round 234  accuracy: 0.7922996878623962
communicate round 235  accuracy: 0.8401001691818237
communicate round 236  accuracy: 0.9032999277114868
communicate round 237  accuracy: 0.7865999341011047
communicate round 238  accuracy: 0.7286999225616455
communicate round 239  accuracy: 0.8134000301361084
communicate round 240  accuracy: 0.8067998886108398
communicate round 241  accuracy: 0.6836000084877014
communicate round 242  accuracy: 0.8899000287055969
communicate round 243  accuracy: 0.7495000958442688
communicate round 244  accuracy: 0.7916998267173767
communicate round 245  accuracy: 0.8076000809669495
communicate round 246  accuracy: 0.6832000613212585
communicate round 247  accuracy: 0.8335999250411987
communicate round 248  accuracy: 0.7963998913764954
communicate round 249  accuracy: 0.8061999082565308
communicate round 250  accuracy: 0.780299723148346
communicate round 251  accuracy: 0.8498001098632812
communicate round 252  accuracy: 0.8610999584197998
communicate round 253  accuracy: 0.8922001719474792
communicate round 254  accuracy: 0.6894999742507935
communicate round 255  accuracy: 0.798599898815155
communicate round 256  accuracy: 0.8642001152038574
communicate round 257  accuracy: 0.8582001328468323
communicate round 258  accuracy: 0.7728001475334167
communicate round 259  accuracy: 0.8093997240066528
communicate round 260  accuracy: 0.7577000260353088
communicate round 261  accuracy: 0.8733000159263611
communicate round 262  accuracy: 0.8086998462677002
communicate round 263  accuracy: 0.7987000942230225
communicate round 264  accuracy: 0.7491999864578247
communicate round 265  accuracy: 0.8362998962402344
communicate round 266  accuracy: 0.8813000321388245
communicate round 267  accuracy: 0.8524001240730286
communicate round 268  accuracy: 0.8696000576019287
communicate round 269  accuracy: 0.7105000615119934
communicate round 270  accuracy: 0.8450998663902283
communicate round 271  accuracy: 0.8121001124382019
communicate round 272  accuracy: 0.8454999327659607
communicate round 273  accuracy: 0.8318999409675598
communicate round 274  accuracy: 0.8929998874664307
communicate round 275  accuracy: 0.8091001510620117
communicate round 276  accuracy: 0.7411000728607178
communicate round 277  accuracy: 0.8406000137329102
communicate round 278  accuracy: 0.904699981212616
communicate round 279  accuracy: 0.8075999021530151
communicate round 280  accuracy: 0.7531000375747681
communicate round 281  accuracy: 0.7498998045921326
communicate round 282  accuracy: 0.7628998160362244
communicate round 283  accuracy: 0.8417999744415283
communicate round 284  accuracy: 0.7870001792907715
communicate round 285  accuracy: 0.7576000094413757
communicate round 286  accuracy: 0.7634999752044678
communicate round 287  accuracy: 0.8130998015403748
communicate round 288  accuracy: 0.7788999676704407
communicate round 289  accuracy: 0.8494998216629028
communicate round 290  accuracy: 0.8129000067710876
communicate round 291  accuracy: 0.6565001010894775
communicate round 292  accuracy: 0.8911000490188599
communicate round 293  accuracy: 0.8982998728752136
communicate round 294  accuracy: 0.8718000054359436
communicate round 295  accuracy: 0.7394999265670776
communicate round 296  accuracy: 0.7618001103401184
communicate round 297  accuracy: 0.8714003562927246
communicate round 298  accuracy: 0.7551000714302063
communicate round 299  accuracy: 0.8686999082565308
communicate round 300  accuracy: 0.8899999856948853
communicate round 301  accuracy: 0.8646998405456543
communicate round 302  accuracy: 0.8140000104904175
communicate round 303  accuracy: 0.8434000015258789
communicate round 304  accuracy: 0.765999972820282
communicate round 305  accuracy: 0.7754999399185181
communicate round 306  accuracy: 0.6937000155448914
communicate round 307  accuracy: 0.7898999452590942
communicate round 308  accuracy: 0.7837998270988464
communicate round 309  accuracy: 0.8105999827384949
communicate round 310  accuracy: 0.870499849319458
communicate round 311  accuracy: 0.8153998851776123
communicate round 312  accuracy: 0.842799961566925
communicate round 313  accuracy: 0.8668997883796692
communicate round 314  accuracy: 0.8426997661590576
communicate round 315  accuracy: 0.81520015001297
communicate round 316  accuracy: 0.7537999749183655
communicate round 317  accuracy: 0.8463999032974243
communicate round 318  accuracy: 0.8191000819206238
communicate round 319  accuracy: 0.8621998429298401
communicate round 320  accuracy: 0.757599949836731
communicate round 321  accuracy: 0.8627999424934387
communicate round 322  accuracy: 0.8885999321937561
communicate round 323  accuracy: 0.8267999291419983
communicate round 324  accuracy: 0.8163002729415894
communicate round 325  accuracy: 0.8539998531341553
communicate round 326  accuracy: 0.8456001281738281
communicate round 327  accuracy: 0.8057999014854431
communicate round 328  accuracy: 0.8671000003814697
communicate round 329  accuracy: 0.6414998769760132
communicate round 330  accuracy: 0.8260998129844666
communicate round 331  accuracy: 0.6610998511314392
communicate round 332  accuracy: 0.8023000359535217
communicate round 333  accuracy: 0.7893998622894287
communicate round 334  accuracy: 0.7791998982429504
communicate round 335  accuracy: 0.8345000147819519
communicate round 336  accuracy: 0.7747998833656311
communicate round 337  accuracy: 0.8852999210357666
communicate round 338  accuracy: 0.8749998807907104
communicate round 339  accuracy: 0.8528000712394714
communicate round 340  accuracy: 0.8806999921798706
communicate round 341  accuracy: 0.8109000325202942
communicate round 342  accuracy: 0.7943997979164124
communicate round 343  accuracy: 0.879800021648407
communicate round 344  accuracy: 0.8051000237464905
communicate round 345  accuracy: 0.7396999001502991
communicate round 346  accuracy: 0.8064000010490417
communicate round 347  accuracy: 0.8624001741409302
communicate round 348  accuracy: 0.829200029373169
communicate round 349  accuracy: 0.8263000845909119
communicate round 350  accuracy: 0.898000180721283
communicate round 351  accuracy: 0.8802001476287842
communicate round 352  accuracy: 0.8353002667427063
communicate round 353  accuracy: 0.7824999094009399
communicate round 354  accuracy: 0.8609000444412231
communicate round 355  accuracy: 0.7756999731063843
communicate round 356  accuracy: 0.8809000253677368
communicate round 357  accuracy: 0.8841997981071472
communicate round 358  accuracy: 0.8535000681877136
communicate round 359  accuracy: 0.7689999341964722
communicate round 360  accuracy: 0.8364001512527466
communicate round 361  accuracy: 0.8169999718666077
communicate round 362  accuracy: 0.8182998299598694
communicate round 363  accuracy: 0.7594000101089478
communicate round 364  accuracy: 0.6797998547554016
communicate round 365  accuracy: 0.8926000595092773
communicate round 366  accuracy: 0.8864001035690308
communicate round 367  accuracy: 0.7501000761985779
communicate round 368  accuracy: 0.798099935054779
communicate round 369  accuracy: 0.8559000492095947
communicate round 370  accuracy: 0.870599627494812
communicate round 371  accuracy: 0.7992998361587524
communicate round 372  accuracy: 0.8324997425079346
communicate round 373  accuracy: 0.8555001616477966
communicate round 374  accuracy: 0.8625000715255737
communicate round 375  accuracy: 0.8297000527381897
communicate round 376  accuracy: 0.8084997534751892
communicate round 377  accuracy: 0.8349999785423279
communicate round 378  accuracy: 0.8346999287605286
communicate round 379  accuracy: 0.8469999432563782
communicate round 380  accuracy: 0.824400007724762
communicate round 381  accuracy: 0.8549001812934875
communicate round 382  accuracy: 0.7536000609397888
communicate round 383  accuracy: 0.799500048160553
communicate round 384  accuracy: 0.9149001836776733
communicate round 385  accuracy: 0.7254998087882996
communicate round 386  accuracy: 0.8630000948905945
communicate round 387  accuracy: 0.8544998168945312
communicate round 388  accuracy: 0.797200083732605
communicate round 389  accuracy: 0.7518998384475708
communicate round 390  accuracy: 0.7971000671386719
communicate round 391  accuracy: 0.9022001624107361
communicate round 392  accuracy: 0.8393000364303589
communicate round 393  accuracy: 0.8764001131057739
communicate round 394  accuracy: 0.8164001107215881
communicate round 395  accuracy: 0.6773998737335205
communicate round 396  accuracy: 0.9058999419212341
communicate round 397  accuracy: 0.8268000483512878
communicate round 398  accuracy: 0.7674998044967651
communicate round 399  accuracy: 0.7576001286506653
communicate round 400  accuracy: 0.8262999057769775
communicate round 401  accuracy: 0.8120000958442688
communicate round 402  accuracy: 0.8735997676849365
communicate round 403  accuracy: 0.7822999954223633
communicate round 404  accuracy: 0.9059999585151672
communicate round 405  accuracy: 0.7754998803138733
communicate round 406  accuracy: 0.8740000128746033
communicate round 407  accuracy: 0.6767000555992126
communicate round 408  accuracy: 0.8187000751495361
communicate round 409  accuracy: 0.8952000141143799
communicate round 410  accuracy: 0.8233000040054321
communicate round 411  accuracy: 0.8880000710487366
communicate round 412  accuracy: 0.801500141620636
communicate round 413  accuracy: 0.731799840927124
communicate round 414  accuracy: 0.8787000179290771
communicate round 415  accuracy: 0.7965001463890076
communicate round 416  accuracy: 0.8626000881195068
communicate round 417  accuracy: 0.7938998341560364
communicate round 418  accuracy: 0.8501999974250793
communicate round 419  accuracy: 0.7600000500679016
communicate round 420  accuracy: 0.8405999541282654
communicate round 421  accuracy: 0.8917999863624573
communicate round 422  accuracy: 0.8587000966072083
communicate round 423  accuracy: 0.9032999277114868
communicate round 424  accuracy: 0.8469001054763794
communicate round 425  accuracy: 0.7221998572349548
communicate round 426  accuracy: 0.8948999643325806
communicate round 427  accuracy: 0.8863000273704529
communicate round 428  accuracy: 0.7670000791549683
communicate round 429  accuracy: 0.8728998303413391
communicate round 430  accuracy: 0.8009998798370361
communicate round 431  accuracy: 0.8554998636245728
communicate round 432  accuracy: 0.8841997981071472
communicate round 433  accuracy: 0.8471997380256653
communicate round 434  accuracy: 0.8552001118659973
communicate round 435  accuracy: 0.8070997595787048
communicate round 436  accuracy: 0.7384999394416809
communicate round 437  accuracy: 0.8470998406410217
communicate round 438  accuracy: 0.8215997219085693
communicate round 439  accuracy: 0.8585001230239868
communicate round 440  accuracy: 0.7943999171257019
communicate round 441  accuracy: 0.8603999614715576
communicate round 442  accuracy: 0.8613001108169556
communicate round 443  accuracy: 0.8044000267982483
communicate round 444  accuracy: 0.8171998262405396
communicate round 445  accuracy: 0.8250998258590698
communicate round 446  accuracy: 0.8872999548912048
communicate round 447  accuracy: 0.815099835395813
communicate round 448  accuracy: 0.786799967288971
communicate round 449  accuracy: 0.8281000256538391
communicate round 450  accuracy: 0.8306999802589417
communicate round 451  accuracy: 0.9089999794960022
communicate round 452  accuracy: 0.824400007724762
communicate round 453  accuracy: 0.9023000001907349
communicate round 454  accuracy: 0.8947999477386475
communicate round 455  accuracy: 0.8156999945640564
communicate round 456  accuracy: 0.8404998779296875
communicate round 457  accuracy: 0.6798999905586243
communicate round 458  accuracy: 0.8095998764038086
communicate round 459  accuracy: 0.8436001539230347
communicate round 460  accuracy: 0.8654999136924744
communicate round 461  accuracy: 0.8545001149177551
communicate round 462  accuracy: 0.7997002005577087
communicate round 463  accuracy: 0.749500036239624
communicate round 464  accuracy: 0.8673998713493347
communicate round 465  accuracy: 0.867900013923645
communicate round 466  accuracy: 0.7920000553131104
communicate round 467  accuracy: 0.73440021276474
communicate round 468  accuracy: 0.7707997560501099
communicate round 469  accuracy: 0.8066000938415527
communicate round 470  accuracy: 0.8610001802444458
communicate round 471  accuracy: 0.8426997661590576
communicate round 472  accuracy: 0.8594998717308044
communicate round 473  accuracy: 0.8349002003669739
communicate round 474  accuracy: 0.858599841594696
communicate round 475  accuracy: 0.9046999216079712
communicate round 476  accuracy: 0.8226997256278992
communicate round 477  accuracy: 0.8416001200675964
communicate round 478  accuracy: 0.8227999806404114
communicate round 479  accuracy: 0.8550997972488403
communicate round 480  accuracy: 0.8399999737739563
communicate round 481  accuracy: 0.7650001645088196
communicate round 482  accuracy: 0.8307002186775208
communicate round 483  accuracy: 0.815500020980835
communicate round 484  accuracy: 0.8751002550125122
communicate round 485  accuracy: 0.7870000004768372
communicate round 486  accuracy: 0.8477001190185547
communicate round 487  accuracy: 0.8604001998901367
communicate round 488  accuracy: 0.8614000678062439
communicate round 489  accuracy: 0.7275000810623169
communicate round 490  accuracy: 0.8529999256134033
communicate round 491  accuracy: 0.8354998826980591
communicate round 492  accuracy: 0.8123000264167786
communicate round 493  accuracy: 0.90010005235672
communicate round 494  accuracy: 0.802000105381012
communicate round 495  accuracy: 0.7361998558044434
communicate round 496  accuracy: 0.8652000427246094
communicate round 497  accuracy: 0.7946001291275024
communicate round 498  accuracy: 0.7744998931884766
communicate round 499  accuracy: 0.8737998008728027
communicate round 500  accuracy: 0.8749001026153564
